Date,AveragePrice,TotalVolume,TotalBags,Type,Year,Region,WeekAgo,Pct4046,Pct4225,Pct4770,PctSmall,PctLarge,PercentXLarge
2015-12-27,1.33,64236.62,8696.87,True,2015,Albany,1.35,0.01613939214111826,0.847722840958942,0.0007497281145863527,0.9892777516508813,0.010722248349118705,0.0
2015-12-20,1.35,54876.98,9505.56,True,2015,Albany,0.93,0.012287119298474513,0.8134341576376833,0.0010629229232366649,0.9897438972559218,0.010256102744078203,0.0
2015-12-13,0.93,118220.22,8145.35,True,2015,Albany,1.08,0.006722200313956445,0.9232741234959637,0.0011038720787357695,0.9873375606941384,0.012662439305861625,0.0
2015-12-06,1.08,78992.15,5811.16,True,2015,Albany,1.28,0.014330537907880721,0.911184339203326,0.0009188254782279,0.976982220417266,0.023017779582733912,0.0
2015-11-29,1.28,51039.6,6183.95,True,2015,Albany,1.26,0.01844606932656212,0.8589093566564001,0.001484729504149719,0.9680317596358315,0.03196824036416853,0.0
2015-11-22,1.26,55979.78,6683.91,True,2015,Albany,0.99,0.021155317152014533,0.8586670044076629,0.000779031285939316,0.9809333159782224,0.019066684021777674,0.0
2015-11-15,0.99,83453.76,8318.86,True,2015,Albany,0.98,0.01640333521221812,0.8827968925546316,0.001117505071071693,0.9853285185710541,0.014671481428945792,0.0
2015-11-08,0.98,109428.33,6829.22,True,2015,Albany,1.02,0.006431149959064531,0.9304296245771091,0.0007310721090233214,0.9176523819704154,0.08234761802958464,0.0
2015-11-01,1.02,99811.42,11388.36,True,2015,Albany,1.07,0.010240812123502502,0.8748054080384791,0.0008550123823506369,0.9750771840721579,0.02492281592784211,0.0
2015-10-25,1.07,74338.76,8625.92,True,2015,Albany,1.12,0.011331908145898587,0.8711127277344956,0.001520068400387631,0.9345635016322896,0.06543649836771034,0.0
2015-10-18,1.12,84843.44,8205.66,True,2015,Albany,1.28,0.010900783843747966,0.8910040658417434,0.0013798356125117037,0.9600519641320747,0.039948035867925315,0.0
2015-10-11,1.28,64489.17,10123.9,True,2015,Albany,1.31,0.02453171594548356,0.8168490926460985,0.0016331424330627918,0.9745522970396785,0.025447702960321616,0.0
