city,state,coord1,coord2,offense_date,agency_crimetype_id,crime_id,category,masked_address,geometry
Memphis,TN,35.095,-89.937,2024-01-01 00:00:00,Vandalism/Misdemeanor,2401020025ME [12:677],Property Crime,3800 Philsdale Ave,POINT (-89.937 35.095)
Memphis,TN,35.058,-89.888,2024-01-01 00:00:00,Weapon Law Violations/Felony,2401021577ME [43:377],Weapons Offense,5300 Scottsdale Ave,POINT (-89.888 35.058)
Memphis,TN,35.115,-90.049,2024-01-01 00:00:00,Weapon Law Violations/Felony,2401020012ME [54:350],Weapons Offense,400 Simpson Ave,POINT (-90.049 35.115)
Memphis,TN,35.239,-90.010,2024-01-01 00:00:00,Weapon Law Violations/Felony,2401020108ME [53:867],Weapons Offense,1700 Dena Dr,POINT (-90.01 35.239)
Memphis,TN,35.180,-89.767,2024-01-01 00:00:00,Weapon Law Violations/Felony,2401020019ME [35:880],Weapons Offense,8900 Johnston Cv,POINT (-89.767 35.18)
Memphis,TN,35.052,-89.952,2024-01-01 00:00:00,Simple Assault/DV,2401020111ME [10:530],Assault,Winchester Rd//Tchulahoma Rd,POINT (-89.952 35.052)
Memphis,TN,35.135,-89.903,2024-01-01 00:00:00,MVT/Passenger Vehicle,2401020425ME [07:607],Theft of Vehicle,4800 Barfield Rd,POINT (-89.903 35.135)
Memphis,TN,35.222,-89.889,2024-01-01 00:00:00,Theft from Building,2401020031ME [13:437],Theft,3600 Amesbury St,POINT (-89.889 35.222)
Memphis,TN,35.116,-90.022,2024-01-01 00:00:00,Shoplifting/Misdemeanor,2401020171ME [10:060],Theft,1200 Bellevue Blvd,POINT (-90.022 35.116)
Memphis,TN,35.035,-90.037,2024-01-01 00:00:00,Other Theft/Non-Specific,2403021747ME [11:227],Theft,3600 Lowbranch Dr,POINT (-90.037 35.035)
Memphis,TN,35.121,-89.943,2024-01-01 00:00:00,Vandalism/Misdemeanor,2401020326ME [09:913],Property Crime,3600 Norriswood Ave,POINT (-89.943 35.121)
Memphis,TN,35.147,-90.052,2024-01-01 00:00:00,Vandalism/Felony,2402022071ME [10:977],Property Crime,100 Main St,POINT (-90.052 35.147)
Memphis,TN,35.220,-90.034,2024-01-01 00:00:00,Vandalism/Misdemeanor,2401020156ME [03:030],Property Crime,1000 Par Ave,POINT (-90.034 35.22)
Memphis,TN,35.158,-89.921,2024-01-01 00:00:00,MVT/Passenger Vehicle,2401020223ME [15:373],Theft of Vehicle,Union Ave//Front St,POINT (-89.921 35.158)
Memphis,TN,35.026,-89.845,2024-01-01 00:00:00,Simple Assault,2401020064ME [13:743],Assault,6600 Stockport Dr,POINT (-89.845 35.026)
Memphis,TN,35.088,-89.907,2024-01-01 00:01:00,Vandalism/Misdemeanor,2401020158ME [13:043],Property Crime,1700 Perkins Rd,POINT (-89.907 35.088)
Memphis,TN,35.088,-89.907,2024-01-01 00:01:00,Trespass of Real Property,2401020158ME [13:213],Disorder,1700 Perkins Rd,POINT (-89.907 35.088)
Memphis,TN,35.020,-89.836,2024-01-01 00:02:00,Vandalism/Misdemeanor,2401020006ME [11:310],Property Crime,6800 Shelby Dr,POINT (-89.836 35.02)
Memphis,TN,35.081,-89.913,2024-01-01 00:04:00,Vandalism/Misdemeanor,2401020142ME [09:807],Property Crime,1900 Danville Rd,POINT (-89.913 35.081)
Memphis,TN,35.177,-89.927,2024-01-01 00:06:00,Aggravated Assault,2401020020ME [16:750],Assault,1700 Graham St,POINT (-89.927 35.177)
